Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.435185,0.410933,0.439806
Sequential,-1,0.436886,0.429824,0.439217
Sequential,-1,0.437695,0.430104,0.441033
Sequential,-1,0.437842,0.431233,0.440276
Sequential,-1,0.434640,0.415675,0.438384
Sequential,-1,0.436513,0.433032,0.439685
Sequential,-1,0.437222,0.415892,0.441076
Sequential,-1,0.430457,0.412390,0.439159
Sequential,-1,0.436985,0.432089,0.439917
Sequential,-1,0.436958,0.430029,0.440771
Sequential,-1,0.435749,0.410695,0.439806
Sequential,-1,0.437524,0.427978,0.440248
Sequential,-1,0.437481,0.431481,0.439722
Sequential,-1,0.435957,0.419526,0.440870
Sequential,-1,0.437805,0.432413,0.441083
Sequential,-1,0.436266,0.433282,0.438131
Sequential,-1,0.437360,0.433854,0.439953
Sequential,-1,0.432465,0.410735,0.441867
Sequential,-1,0.439768,0.424015,0.444874
