Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,3.819306,3.796265,3.828687
Sequential,-1,3.804278,3.792421,3.816230
Sequential,-1,3.806733,3.795168,3.823023
Sequential,-1,3.804316,3.789013,3.812353
Sequential,-1,3.799083,3.775537,3.813617
Sequential,-1,3.780410,3.768321,3.790396
Sequential,-1,3.804100,3.790606,3.822631
Sequential,-1,3.818538,3.802312,3.832142
Sequential,-1,3.820211,3.798045,3.833936
Sequential,-1,3.816364,3.798092,3.829904
Sequential,-1,3.814728,3.802336,3.824334
Sequential,-1,3.814033,3.794664,3.826317
Sequential,-1,3.803395,3.791409,3.810407
Sequential,-1,3.073008,3.069176,3.078560
Sequential,-1,3.074090,3.067580,3.083689
Sequential,-1,3.076287,3.070188,3.085179
Sequential,-1,3.071727,3.064173,3.082100
Sequential,-1,3.070052,3.064051,3.081634
Sequential,-1,3.072882,3.066399,3.086890
