Naive,32,0.095501,0.091685,0.127451
Naive,64,0.095698,0.091025,0.126958
Naive,128,0.094641,0.090600,0.127710
Naive,256,0.094700,0.090810,0.126688
Naive,512,0.095492,0.091414,0.127668
Naive,1024,0.095171,0.091143,0.127787
Transpose,32,0.075225,0.071395,0.107518
Transpose,64,0.074810,0.070395,0.106943
Transpose,128,0.074247,0.070040,0.107358
Transpose,256,0.074192,0.069777,0.107848
Transpose,512,0.074729,0.070437,0.107447
Transpose,1024,0.074173,0.069896,0.107227
Shmem,32,0.079623,0.075663,0.110305
Shmem,64,0.080180,0.076084,0.112799
Shmem,128,0.080156,0.075998,0.112211
Shmem,256,0.079891,0.075392,0.112632
Shmem,512,0.079317,0.075218,0.112343
Shmem,1024,0.079790,0.075070,0.113153
