Naive,32,0.053869,0.051425,0.070116
Naive,64,0.054594,0.052264,0.071196
Naive,128,0.054300,0.051791,0.070988
Naive,256,0.054559,0.051860,0.071680
Naive,512,0.054640,0.051301,0.071594
Naive,1024,0.054211,0.051401,0.071282
Transpose,32,0.050022,0.047186,0.066631
Transpose,64,0.050093,0.047525,0.067661
Transpose,128,0.050220,0.047728,0.066702
Transpose,256,0.050135,0.046924,0.067646
Transpose,512,0.049929,0.047049,0.067235
Transpose,1024,0.050340,0.048105,0.066563
Shmem,32,0.050237,0.048039,0.068363
Shmem,64,0.050023,0.047166,0.066592
Shmem,128,0.050268,0.047895,0.068482
Shmem,256,0.049562,0.047143,0.067556
Shmem,512,0.049902,0.047263,0.068031
Shmem,1024,0.049792,0.047171,0.066839
