Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.201617,0.197368,0.213250
Sequential,-1,0.179413,0.175121,0.190495
Sequential,-1,0.177684,0.174615,0.188099
Sequential,-1,0.177967,0.174099,0.188130
Sequential,-1,0.177852,0.174425,0.188226
Sequential,-1,0.177939,0.174493,0.189199
Sequential,-1,0.177949,0.174325,0.188529
Sequential,-1,0.200481,0.196008,0.212953
Sequential,-1,0.200584,0.196028,0.211944
Sequential,-1,0.200335,0.195975,0.212307
Sequential,-1,0.200342,0.196759,0.211960
Sequential,-1,0.201201,0.195837,0.212396
Sequential,-1,0.201744,0.197738,0.214175
Sequential,-1,0.144066,0.141264,0.158318
Sequential,-1,0.143898,0.139773,0.156150
Sequential,-1,0.144147,0.141245,0.156992
Sequential,-1,0.143995,0.141030,0.157020
Sequential,-1,0.144368,0.140963,0.157758
Sequential,-1,0.143835,0.140423,0.156132
