Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,2.807855,2.797858,2.821870
Sequential,-1,2.456826,2.445402,2.469070
Sequential,-1,2.459122,2.448022,2.472328
Sequential,-1,2.459514,2.448045,2.472099
Sequential,-1,2.451324,2.438134,2.473289
Sequential,-1,2.436132,2.425646,2.448916
Sequential,-1,2.443326,2.431784,2.456786
Sequential,-1,2.788678,2.778667,2.800011
Sequential,-1,2.788935,2.777362,2.801739
Sequential,-1,2.788675,2.776552,2.800452
Sequential,-1,2.789112,2.775518,2.801673
Sequential,-1,2.803154,2.778599,2.811112
Sequential,-1,2.805808,2.793964,2.813578
Sequential,-1,1.907443,1.899548,1.917207
Sequential,-1,1.908839,1.902869,1.921041
Sequential,-1,1.910093,1.903444,1.921954
Sequential,-1,1.909278,1.906048,1.917470
Sequential,-1,1.908244,1.900803,1.919865
Sequential,-1,1.909983,1.906212,1.921830
