Naive,32,0.030795,0.030311,0.032241
Naive,64,0.032162,0.031831,0.032393
Naive,128,0.032663,0.032411,0.033335
Naive,256,0.031949,0.031606,0.032631
Naive,512,0.032145,0.031835,0.033324
Naive,1024,0.033176,0.032838,0.033955
Transpose,32,0.036390,0.035638,0.040264
Transpose,64,0.036370,0.035702,0.040008
Transpose,128,0.036535,0.035829,0.040129
Transpose,256,0.036425,0.035608,0.040377
Transpose,512,0.036377,0.035884,0.040039
Transpose,1024,0.035979,0.035389,0.039707
Shmem,32,0.035995,0.035217,0.040243
Shmem,64,0.037927,0.035917,0.039936
Shmem,128,0.036318,0.035700,0.040063
Shmem,256,0.036046,0.034971,0.039164
Shmem,512,0.036434,0.035971,0.039635
Shmem,1024,0.036098,0.035505,0.039597
