Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.287147,0.266640,0.314205
Sequential,-1,0.280471,0.261867,0.307255
Sequential,-1,0.279796,0.260829,0.305684
Sequential,-1,0.280124,0.261604,0.307338
Sequential,-1,0.279470,0.260436,0.307084
Sequential,-1,0.277466,0.258850,0.304371
Sequential,-1,0.279849,0.260358,0.305873
Sequential,-1,0.287124,0.266904,0.314680
Sequential,-1,0.284492,0.265452,0.313106
Sequential,-1,0.287292,0.266687,0.316614
Sequential,-1,0.287029,0.267546,0.316700
Sequential,-1,0.287120,0.265970,0.316062
Sequential,-1,0.286965,0.266350,0.314641
Sequential,-1,0.241496,0.222088,0.274460
Sequential,-1,0.241534,0.223573,0.272508
Sequential,-1,0.241584,0.224314,0.273111
Sequential,-1,0.241780,0.223796,0.273516
Sequential,-1,0.242011,0.225315,0.273015
Sequential,-1,0.241594,0.224849,0.272104
