Naive,32,0.100942,0.091528,0.180691
Naive,64,0.119663,0.109935,0.158000
Naive,128,0.118528,0.107881,0.198065
Naive,256,0.116890,0.107099,0.192481
Naive,512,0.115128,0.105789,0.194062
Naive,1024,0.130663,0.118315,0.186712
Transpose,32,0.042637,0.042330,0.042882
Transpose,64,0.047619,0.046917,0.048126
Transpose,128,0.050711,0.050237,0.051478
Transpose,256,0.051511,0.050987,0.052360
Transpose,512,0.055454,0.055192,0.055674
Transpose,1024,0.055822,0.055134,0.056933
Shmem,32,0.045333,0.045044,0.045745
Shmem,64,0.049993,0.049782,0.050173
Shmem,128,0.057624,0.056860,0.058282
Shmem,256,0.057106,0.056542,0.057813
Shmem,512,0.057133,0.056697,0.057547
Shmem,1024,0.057307,0.056993,0.057656
