Naive,32,0.052325,0.049701,0.069017
Naive,64,0.052822,0.050544,0.069790
Naive,128,0.052874,0.050209,0.069263
Naive,256,0.052521,0.049898,0.069683
Naive,512,0.052627,0.050111,0.068996
Naive,1024,0.052651,0.050527,0.069056
Transpose,32,0.049434,0.046899,0.066546
Transpose,64,0.049267,0.046972,0.066751
Transpose,128,0.049251,0.046281,0.066247
Transpose,256,0.049391,0.046643,0.065930
Transpose,512,0.049440,0.046698,0.066346
Transpose,1024,0.050051,0.046968,0.066576
Shmem,32,0.058344,0.048468,0.068218
Shmem,64,0.057631,0.047870,0.067392
Shmem,128,0.057238,0.047299,0.067177
Shmem,256,0.058483,0.048610,0.068356
Shmem,512,0.056614,0.046694,0.066533
Shmem,1024,0.057500,0.047517,0.067481
