Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.983102,0.963333,1.073151
Sequential,-1,0.962975,0.942066,0.998289
Sequential,-1,0.962935,0.943126,0.995575
Sequential,-1,0.962070,0.940356,0.993957
Sequential,-1,0.962557,0.941187,0.995965
Sequential,-1,0.962540,0.940792,0.995871
Sequential,-1,0.962364,0.941510,0.992881
Sequential,-1,0.966657,0.947400,1.001323
Sequential,-1,0.962792,0.940949,0.994731
Sequential,-1,0.962078,0.939558,0.993525
Sequential,-1,0.962402,0.941314,0.993800
Sequential,-1,0.962063,0.939544,0.994707
Sequential,-1,0.962787,0.940889,0.993995
Sequential,-1,0.773986,0.761721,0.798715
Sequential,-1,0.774173,0.764246,0.800142
Sequential,-1,0.773929,0.763923,0.798062
Sequential,-1,0.773556,0.765698,0.796333
Sequential,-1,0.773593,0.764911,0.797010
Sequential,-1,0.773319,0.765988,0.796215
