Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.133630,0.131250,0.137554
Sequential,-1,0.134794,0.133331,0.137933
Sequential,-1,0.134579,0.132663,0.137694
Sequential,-1,0.134438,0.131001,0.137245
Sequential,-1,0.134512,0.133119,0.138317
Sequential,-1,0.134887,0.133495,0.137661
Sequential,-1,0.134913,0.133592,0.138446
Sequential,-1,0.132923,0.131596,0.136423
Sequential,-1,0.134851,0.133700,0.137558
Sequential,-1,0.134286,0.132382,0.135982
Sequential,-1,0.134594,0.132800,0.137368
Sequential,-1,0.134428,0.133271,0.137598
Sequential,-1,0.134665,0.132661,0.137969
Sequential,-1,0.132554,0.131727,0.135658
Sequential,-1,0.132496,0.131662,0.134522
Sequential,-1,0.131452,0.130122,0.133135
Sequential,-1,0.132408,0.131487,0.134933
Sequential,-1,0.132403,0.131521,0.134185
Sequential,-1,0.131359,0.129608,0.132966
