Naive,32,0.042364,0.042189,0.042659
Naive,64,0.047309,0.046999,0.047663
Naive,128,0.047943,0.047681,0.048305
Naive,256,0.047363,0.047133,0.047793
Naive,512,0.046935,0.046587,0.047287
Naive,1024,0.050788,0.050559,0.051101
Transpose,32,0.037511,0.037041,0.039742
Transpose,64,0.039458,0.039257,0.040504
Transpose,128,0.039499,0.038766,0.040295
Transpose,256,0.039439,0.039202,0.040463
Transpose,512,0.039862,0.039489,0.041245
Transpose,1024,0.040178,0.039943,0.041396
Shmem,32,0.039712,0.039351,0.040644
Shmem,64,0.040111,0.039452,0.041084
Shmem,128,0.041318,0.039664,0.051106
Shmem,256,0.040439,0.039975,0.041644
Shmem,512,0.039898,0.039333,0.040972
Shmem,1024,0.040686,0.040255,0.041471
