Naive,32,0.058565,0.056171,0.071199
Naive,64,0.058319,0.056669,0.070830
Naive,128,0.058537,0.056347,0.071183
Naive,256,0.058152,0.056034,0.070410
Naive,512,0.058179,0.056658,0.070667
Naive,1024,0.058343,0.056468,0.071152
Transpose,32,0.052027,0.049373,0.066555
Transpose,64,0.052164,0.049725,0.067298
Transpose,128,0.051916,0.049019,0.067556
Transpose,256,0.052034,0.049810,0.067162
Transpose,512,0.052291,0.049785,0.067074
Transpose,1024,0.052393,0.049843,0.067098
Shmem,32,0.051947,0.049482,0.068248
Shmem,64,0.051956,0.049366,0.068286
Shmem,128,0.051756,0.049693,0.067800
Shmem,256,0.052235,0.050029,0.068666
Shmem,512,0.051906,0.049295,0.067786
Shmem,1024,0.052092,0.049690,0.068634
