Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,1.656193,1.649103,1.667427
Sequential,-1,1.658382,1.643026,1.669582
Sequential,-1,1.652641,1.588488,1.667862
Sequential,-1,1.651062,1.591312,1.667822
Sequential,-1,1.665010,1.651347,1.672541
Sequential,-1,1.668661,1.641618,1.677678
Sequential,-1,1.665324,1.650065,1.673126
Sequential,-1,1.668114,1.651814,1.676285
Sequential,-1,1.657356,1.652093,1.674308
Sequential,-1,1.663827,1.649261,1.671193
Sequential,-1,1.661674,1.649564,1.668380
Sequential,-1,1.657240,1.558024,1.676846
Sequential,-1,1.652684,1.641406,1.669973
Sequential,-1,1.658710,1.644924,1.662889
Sequential,-1,1.648612,1.640966,1.656293
Sequential,-1,1.650806,1.643518,1.661694
Sequential,-1,1.663017,1.634746,1.677226
Sequential,-1,1.660851,1.651751,1.678055
Sequential,-1,1.640804,1.628174,1.655119
