Naive,32,0.041966,0.041755,0.042277
Naive,64,0.047089,0.046702,0.048082
Naive,128,0.047243,0.046550,0.048589
Naive,256,0.046788,0.046293,0.047989
Naive,512,0.046559,0.046246,0.046760
Naive,1024,0.051345,0.051022,0.051708
Transpose,32,0.037502,0.037346,0.037809
Transpose,64,0.037705,0.037350,0.038590
Transpose,128,0.037834,0.037563,0.038751
Transpose,256,0.037813,0.037353,0.038735
Transpose,512,0.038162,0.037837,0.039217
Transpose,1024,0.037796,0.037603,0.038603
Shmem,32,0.037386,0.037158,0.038096
Shmem,64,0.037852,0.037483,0.038797
Shmem,128,0.037979,0.037471,0.039300
Shmem,256,0.037477,0.037303,0.037856
Shmem,512,0.037964,0.037650,0.038562
Shmem,1024,0.038158,0.037881,0.038696
