Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.111116,0.108191,0.114370
Sequential,-1,0.111411,0.107602,0.114845
Sequential,-1,0.110006,0.107566,0.114040
Sequential,-1,0.111010,0.107350,0.114557
Sequential,-1,0.110276,0.108095,0.113710
Sequential,-1,0.111063,0.108993,0.115477
Sequential,-1,0.111225,0.108449,0.115585
Sequential,-1,0.111494,0.108453,0.115462
Sequential,-1,0.111139,0.108079,0.115634
Sequential,-1,0.111582,0.109510,0.115498
Sequential,-1,0.110532,0.107995,0.113929
Sequential,-1,0.110714,0.108898,0.114578
Sequential,-1,0.112062,0.110337,0.116258
Sequential,-1,0.110637,0.108515,0.113612
Sequential,-1,0.110424,0.109439,0.113913
Sequential,-1,0.110895,0.109230,0.113203
Sequential,-1,0.109929,0.108547,0.112932
Sequential,-1,0.110278,0.109222,0.113653
Sequential,-1,0.109555,0.107322,0.111272
