Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.714388,0.706272,0.732350
Sequential,-1,0.625796,0.619759,0.642413
Sequential,-1,0.625080,0.619233,0.642633
Sequential,-1,0.624898,0.618543,0.642546
Sequential,-1,0.625844,0.619752,0.643621
Sequential,-1,0.625503,0.617049,0.643405
Sequential,-1,0.625777,0.619659,0.643676
Sequential,-1,0.710951,0.700975,0.730680
Sequential,-1,0.707449,0.697326,0.726708
Sequential,-1,0.707076,0.697014,0.725981
Sequential,-1,0.707487,0.698435,0.725936
Sequential,-1,0.708517,0.699360,0.727984
Sequential,-1,0.707159,0.697454,0.726211
Sequential,-1,0.489129,0.478986,0.503346
Sequential,-1,0.489600,0.478041,0.506320
Sequential,-1,0.489713,0.480572,0.504773
Sequential,-1,0.489260,0.478210,0.505167
Sequential,-1,0.489320,0.477932,0.504695
Sequential,-1,0.489488,0.477461,0.504129
